county_id,place_geoid,pass,failed_checks
coryell-tx,4824864,true,
hamilton-tx,4824864,true,
starr-tx,4824894,true,
tarrant-tx,4824912,true,
el-paso-tx,4825032,true,
maverick-tx,4825038,true,
fort-bend-tx,4825068,true,
freestone-tx,4825104,true,
bexar-tx,4825168,true,
comal-tx,4825168,true,
kendall-tx,4825168,true,
collin-tx,4825224,true,
starr-tx,4825338,true,
starr-tx,4825344,true,
zapata-tx,4825348,true,
zapata-tx,4825352,true,
starr-tx,4825356,true,
brooks-tx,4825368,true,
karnes-tx,4825392,true,
san-patricio-tx,4825397,true,
jefferson-tx,4825404,true,
dallas-tx,4825452,true,
collin-tx,4825488,true,
ochiltree-tx,4825512,true,
parmer-tx,4825548,true,
rockwall-tx,4825572,true,
fayette-tx,4825644,true,
starr-tx,4825744,true,
dallas-tx,4825752,true,
ellis-tx,4825752,true,
fort-bend-tx,4825795,true,
coryell-tx,4826004,true,
fayette-tx,4826028,true,
starr-tx,4826130,true,
williamson-tx,4826136,true,
wilson-tx,4826160,true,
brooks-tx,4826220,true,
denton-tx,4826232,true,
tarrant-tx,4826232,true,
floyd-tx,4826268,true,
scurry-tx,4826280,true,
lipscomb-tx,4826328,true,
orange-tx,4826516,true,
tarrant-tx,4826544,true,
kaufman-tx,4826604,true,
howard-tx,4826640,true,
el-paso-tx,4826664,true,
bell-tx,4826666,true,
coryell-tx,4826666,true,
kinney-tx,4826680,true,
jeff-davis-tx,4826688,true,
hudspeth-tx,4826724,true,
pecos-tx,4826808,true,
denton-tx,4827000,true,
johnson-tx,4827000,true,
parker-tx,4827000,true,
tarrant-tx,4827000,true,
wise-tx,4827000,true,
fort-bend-tx,4827102,true,
webb-tx,4827124,true,
la-salle-tx,4827144,true,
robertson-tx,4827288,true,
anderson-tx,4827300,true,
henderson-tx,4827300,true,
gillespie-tx,4827348,true,
brazoria-tx,4827420,true,
duval-tx,4827432,true,
fort-bend-tx,4827540,true,
galveston-tx,4827648,true,
harris-tx,4827648,true,
parmer-tx,4827660,true,
collin-tx,4827684,true,
denton-tx,4827684,true,
hutchinson-tx,4827696,true,
moore-tx,4827696,true,
starr-tx,4827744,true,
starr-tx,4827748,true,
navarro-tx,4827768,true,
van-zandt-tx,4827804,true,
fort-bend-tx,4827876,true,
aransas-tx,4827888,true,
borden-tx,4827972,true,
cooke-tx,4827984,true,
harris-tx,4827996,true,
cherokee-tx,4828008,true,
galveston-tx,4828068,true,
jackson-tx,4828080,true,
starr-tx,4828128,true,
starr-tx,4828152,true,
glasscock-tx,4828176,true,
ector-tx,4828200,true,
comal-tx,4828248,true,
travis-tx,4828320,true,
collin-tx,4829000,true,
dallas-tx,4829000,true,
parker-tx,4829012,true,
ellis-tx,4829036,true,
nacogdoches-tx,4829060,true,
colorado-tx,4829096,true,
panola-tx,4829108,true,
starr-tx,4829114,true,
coryell-tx,4829168,true,
milam-tx,4829216,true,
williamson-tx,4829336,true,
live-oak-tx,4829348,true,
guadalupe-tx,4829384,true,
mclennan-tx,4829408,true,
lee-tx,4829432,true,
upshur-tx,4829564,true,
kent-tx,4829612,true,
gregg-tx,4829660,true,
upshur-tx,4829660,true,
hemphill-tx,4829732,true,
dallas-tx,4829840,true,
ellis-tx,4829840,true,
somervell-tx,4829876,true,
colorado-tx,4829912,true,
johnson-tx,4829972,true,
ector-tx,4830044,true,
mills-tx,4830056,true,
goliad-tx,4830080,true,
falls-tx,4830092,true,
mclennan-tx,4830092,true,
gonzales-tx,4830116,true,
navarro-tx,4830188,true,
polk-tx,4830224,true,
palo-pinto-tx,4830272,true,
knox-tx,4830296,true,
eastland-tx,4830308,true,
palo-pinto-tx,4830380,true,
young-tx,4830392,true,
hood-tx,4830416,true,
ward-tx,4830440,true,
dallas-tx,4830464,true,
ellis-tx,4830464,true,
johnson-tx,4830464,true,
tarrant-tx,4830464,true,
van-zandt-tx,4830476,true,
johnson-tx,4830512,true,
williamson-tx,4830548,true,
montgomery-tx,4830560,true,
burnet-tx,4830584,true,
hidalgo-tx,4830608,true,
