"county_id","place_geoid","community","local_pass","certification_status","live_provider_status"
"falls-tx","4810828","Bruceville-Eddy","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"mclennan-tx","4810828","Bruceville-Eddy","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"dimmit-tx","4810852","Brundage","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"webb-tx","4810876","Bruni","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"williamson-tx","4810897","Brushy Creek","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brazos-tx","4810912","Bryan","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jack-tx","4810960","Bryson","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"llano-tx","4810984","Buchanan Dam","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"llano-tx","4810990","Buchanan Lake Village","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"milam-tx","4811020","Buckholts","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hays-tx","4811080","Buda","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4811102","Buena Vista","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"leon-tx","4811116","Buffalo","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"taylor-tx","4811128","Buffalo Gap","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"lubbock-tx","4811155","Buffalo Springs Lake","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cherokee-tx","4811212","Bullard","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"smith-tx","4811212","Bullard","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"comal-tx","4811224","Bulverde","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jasper-tx","4811236","Buna","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"harris-tx","4811300","Bunker Hill Village","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wichita-tx","4811368","Burkburnett","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"angelina-tx","4811380","Burke","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"johnson-tx","4811428","Burleson","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"tarrant-tx","4811428","Burleson","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"milam-tx","4811440","Burlington","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"burnet-tx","4811464","Burnet","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
